,Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
1607,,,,,,,,,,,, ,,2 SWS Vorlesung , ,,semantischen Technologien und der Wissensrepräsentation ,Schranken der kommerziellen Verwertbarkeit von Daten , ,, 
1608,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Ingenieurgrundlagen für Informatiker ,,2 SWS Übung ,6 CP ,,Verständnis der logischen Grundlagen der für das Semantik Web ,Ethische Herausforderung im Umgang mit persönlichen Daten / , ,, 
1609,,,,,,,,,,,, ,,Selbstständiges Arbeiten: , ,,relevanten Sprachen ,Metadaten ,Leistungen: erfolgreiche Teilnahme am Praktikum ,, 
1610,,,,,,,,,,,, ,,Übungsaufgaben ,Voraussetzungen nach ,,"Fähigkeit, einfache Wissensbasen selbst zu entwickeln ",Erweiterung des Realitätsbegriffes ,Prüfung: mündlich M30 ,,Seite 277   Inhaltsverzeichnis 
1611,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit ,Prüfungsordnung: ,, ,Künstliche Intelligenz und Technologische Singularität , ,,     
1612,,,,,,,,,,,, ,,Präsenzzeiten: ,keine ,, ,Anwendungsgebiete der Digitalisierung , ,, 
1613,,,,,,,,,,,, ,,Wintersemester: ,3-6 CP ,, ,VertriebMobilität (Autonomes Fahren; Smart Cars)Autonome , ,,"David Perry, Rusel DeMaria: David Perry on Game Design: A "
1614,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,2SWS Wöchentliche Vorlesungen , ,,Seite 310   Inhaltsverzeichnis ,"Entscheidungen von MaschinenIntelligente, Vernetzte ",Prüfungsvorleistung erforderlich ,,"Brainstorming Toolbox. Cengage Learning , 2009Raph Koster: A "
1615,,,,,,,,,,,, ,,1SWS Wöchentliche Übungen ,Voraussetzungen nach ,,     ,"Produktion, Industrie 4.0Autonome Kriegsführung ",Prüfung: mündliche Prüfung ,,"Theory of Fun. Paraglyph Press, 2005 "
1616,,,,,,,,,,,, ,,Sommersemester ,Prüfungsordnung: ,, , , ,,Jesse Schell: The Art of Game Design: A Book of Lenses. CRC 
1617,,,,,,,,,,,,FIN: B.Sc. CV - Kernfächer ,,1SWS Praktikum , ,, You have an overview of basic problems and methods in ,kurze Einführung in biologische Grundlagen der Evolution und , ,,"Press, 2008 "
1618,,,,,,,,,,,,FIN: B.Sc. INF - Kernfächer ,,Selbstständiges Arbeiten: ,5 ,,designing distributed sensor systems and their applications. ,"GenetikAusgestaltung genetischer Operatoren (z.B. Selektion, ", ,,Tracy Fullerton: Game Design Workshop: A Playcentric Approach 
1619,,,,,,,,,,,,FIN: B.Sc. INGINF - Kernfächer ,,Übungsvorbereitung , ,," You understand how to process data in a network of sensors, ","Kreuzung, Rekombination, Mutation) ",Klausur (K 90) oder mündliche Prüfung ,,"to Creating Innovative Games. CRC Press, 2008 "
1620,,,,,,,,,,,,FIN: B.Sc. WIF - Verstehen ,,150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit ,Voraussetzungen nach ,,"what requirements the infrastructure must meet, and how to ",Überblick über verschiedene Arten genetischer und ,Prüfungsvorleistungen gemäß Bekanntgabe ,, 
1621,,,,,,,,,,,, ,,"Präsenzzeiten: Vorlesung 3 SWS, Übung 1 SWS ",Prüfungsordnung: ,,model and describe errors like measurement noise. ,evolutionärer Algorithmen und genetischer Programmierung , ,, 
1622,,,,,,,,,,,, ,,Selbständiges Bearbeiten eines Projektes , ,,  ,Erläuterung von Vor- und Nachteilen dieser Algorithmen anhand , ,, 
1623,,,,,,,,,,,,FIN: B.Sc. CV - Kernfächer ,, ,5 ,,You are familiar with the mathematical tools and can apply ,von Beispielen , ,, 
1624,,,,,,,,,,,,FIN: B.Sc. INF - Kernfächer ,,Präsenzzeiten: , ,,them. ,Behandlung verwandter Verfahren (z.B. simuliertes Ausglühen) ,Prüfungsvorleistung ,, 
1625,,,,,,,,,,,,FIN: B.Sc. INGINF - Kernfächer ,,wöchentliche Vorlesungen 2 SWS ,Voraussetzungen nach ,,"You can analyze, compare, and evaluate different approaches to ",Anwendungsbeispiele ,Benotet: Hausarbeit ,, 
1626,,,,,,,,,,,,FIN: B.Sc. WIF - Verstehen ,,wöchentliche Übungen: 2 SWS ,Prüfungsordnung: ,,information processing of sensor data. , ,Unbenotet: Bestehen der Hausarbeit ,,Seite 279   Inhaltsverzeichnis 
1627,,,,,,,,,,,, ,,Selbstständiges Arbeiten: , ,, ,In our daily lives we are inevitably involved in optimization. How , ,,     
1628,,,,,,,,,,,, ,,Nacharbeiten der Vorlesung ,5 ,, ,to get to the university in the least time is a simple optimization , ,, 
1629,,,,,,,,,,,,FIN: B.Sc. CV - Kernfächer ,,Lösen von Übungsaufgaben mit steigender Komplexität , ,,Lernziele & erworbene Kompetenzen: ,problem that we encounter every morning. ,Prüfungsvorleistung: wird zu Beginn der Veranstaltung ,,"Fullerton, Tracy (2008). Game Design Workshop. Burlington: "
1630,,,,,,,,,,,,FIN: B.Sc. INF - Kernfächer ,,Prüfungsvorbereitung180h = 56h Präsenzzeit + 124h selbstständige ,Voraussetzungen nach ,,Grundlegende Fähigkeit zur Anwendung sequentieller und ,Just looking around ourselves we can see many examples of ,bekanntgegebenBenotet: Hausarbeit ,,"Morgan KaufmannPerry, David und Rusel DeMaria (2009). David "
1631,,,,,,,,,,,,FIN: B.Sc. INGINF - Kernfächer ,,Arbeit 180h ,Prüfungsordnung: ,,paralleler Algorithmen zur Problemlösung ,optimization problems even with conflicting objectives and , ,,Perry on Game Design: A Brainstorming Toolbox.Boston: Course 
1632,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,, , ,,"Fähigkeiten zu deren Bewertung, insbesondere hinsichtlich ihrer ",higher complexities. It is natural to want everything to be as , ,, 
1633,,,,,,,,,,,, ,, ,3 ,,Effizienz. ,"good as possible, in other words optimal. The difficulty arises ",Prüfungsvorleistung Benotet: Hausarbeit ,, 
1634,,,,,,,,,,,, ,,Präsenzzeiten: , ,, ,when there are conflicts between different goals and objectives. , ,,Seite 280   Inhaltsverzeichnis 
1635,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,2 SWS Vorlesung / 2 SWS Praktikum ,Voraussetzungen nach ,, ,"Indeed, there are many real-world optimization problems with ", ,,     
1636,,,,,,,,,,,, ,,Selbstständiges Arbeiten: ,Prüfungsordnung: ,,Lernziele & erworbene Kompetenzen: , ,Hausarbeit ,, 
1637,,,,,,,,,,,, ,,Nacharbeiten der Vorlesung , ,,Fähigkeit zur algorithmischen Lösung elementarer , , ,,"TechnologySchell, Jesse (2010). The Art of Game Design. A Book "
1638,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Vor- und Nachbereiten des PraktikumsVorlesung: 3 CP = 90 h ,5 ,,"geometrischer Probleme und deren Bewertung, insbesondere ",Seite 246   Inhaltsverzeichnis , ,,of Lenses. Burlington: Morgan KaufmannProjektbezogene 
1639,,,,,,,,,,,, ,,(28h Präsenzzeit + 62h selbstständige Arbeit) , ,,hinsichtlich ihrer Effizienz ,     ,Prüfung: schriftlich ,,Literatur abhängig von den verwendeten Werkzeugen 
1640,,,,,,,,,,,, ,,Praktikum: 2 CP = 60 h (28h Präsenzzeit + 32h selbstständige ,Voraussetzungen nach ,,Fähigkeit zur Beschreibung und Anwendung fundamentaler , , ,, 
1641,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Arbeit) ,Prüfungsordnung: ,,geometrischer Strukturen zur Problemlösung ,"multiple conflicting objectives in science and industry, which are ", ,, 
1642,,,,,,,,,,,, ,, , ,, ,of great complexity. We call them Multi-objective Optimization ,  ,, 
1643,,,,,,,,,,,, ,,Präsenzzeiten: ,6 ,, ,Problems. , ,, 
1644,,,,,,,,,,,,FIN: B.Sc. CV - WPF Computervisualistik ,,3 SWS Vorlesung , ,,Lernziele & zu erwerbende Kompetenzen: ,"Over the past decade, lots of new ideas have been investigated ", ,, 
1645,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Medizintechnik ,,1 SWS Praktikum ,Voraussetzungen nach ,,"Entwicklung der Fähigkeit, die Vorgänge im Computer und der ",and studied to solve such optimization problems as any new ,seminar paper (Paper + Reviews)Presentation ,,Seite 281   Inhaltsverzeichnis 
1646,,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,Selbstständiges Arbeiten: ,Prüfungsordnung: ,,zugehörigen Peripherie auf Signalebene zu verstehen ,development in optimization which can lead to a better solution , ,,     
1647,,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ,,Nachbereiten der Vorlesung , ,,"Entwicklung der Fähigkeit, Computer durch entsprechende ",of a particular problem is of considerable value to science and , ,, 
1648,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Vorbereiten des Praktikums ,6 ,,Interfaces zu komplettieren bzw. einen embedded- Einsatz ,"industry. Among these methods, evolutionary algorithms are ", ,,"Jason Gregory: “Game Engine Architecture”, Taylor & Francis, "
1649,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,Anfertigen derVersuchsprotokolle , ,,vorzubereiten ,shown to be quite successful and have been applied to many ,Erfolgreiches Bearbeiten der Projektwoche ,,2009 
1650,,,,,,,,,,,,"FEIT: BSc Medizintechnik: Pflicht, 4. Sem ",,150h = 4 SWS = 56h Präsenzzeit + 94h selbständige Arbeit ,Voraussetzungen nach ,,- Eingabe analoger Größen ,applications. ,Prüfungsform: Projekt ,,"Thomas Akenine-Möller, Eric Haines, Naty Hoffman: “Real Time "
1651,,,,,,,,,,,, ,,Präsenzzeiten: ,Prüfungsordnung: ,,- Bearbeitungsalgorithmen ,This course addresses the basic and advanced topics in the area , ,,"Rendering”, Peters, 2008 "
1652,,,,,,,,,,,, ,,3 SWS Vorlesung , ,,- Bildeingabe ,of evolutionary multi-objective optimization and contains the , ,,"Steve Rabin: “Introduction to Game Development”, Charles "
1653,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,,1 SWS Praktikum ,2 ,,"Entwicklung der Fähigkeit, hochintegrierter Bausteine für ",following content: ,Bei erfolgreicher Teilnahme an allen Veranstaltungen und ,,"River Media, 2010 "
1654,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Selbstständiges Arbeiten: , ,,Verarbeitungsaufgaben in Geräten zu nutzen ,• Introduction to single-objective optimization (SO) and ,Experimenten ist eine Anrechnung als Proseminar (Schein) ,, 
1655,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Nachbereiten der Vorlesung ,Voraussetzungen nach ,, ,multiobjective ,möglich. ,, 
1656,,,,,,,,,,,,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,,Vorbereiten des Praktikums ,Prüfungsordnung: ,, ,"optimization (MO), classical methods for solving MO, ", ,, 
1657,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Anfertigen der Versuchsprotokolle , ,, ,definitions of Pareto-optimality and other theoretical , ,, 
1658,,,,,,,,,,,,MSc MSE ,,150h = 4 SWS = 56h Präsenzzeit + 94h selbständige Ar-beit ,2 ,,Seite 318   Inhaltsverzeichnis ,foundations for MO , ,, 
1659,,,,,,,,,,,, ,, , ,,     ,"• Basics of evolutionary algorithms (algorithms, operators, ",Zum Bestehen der Prüfung oder zum Erwerb eines Scheins sind ,, 
1660,,,,,,,,,,,, ,,Präsenzzeit = 56 h  ,Voraussetzungen nach ,, ,"selection mechanisms, coding and representations) ",folgende Leistungen zu erbringen: ,,Seite 283   Inhaltsverzeichnis 
1661,,,,,,,,,,,,FIN: B.Sc. CV - WPF Computervisualistik ,,    • 2 SWS Vorlesung  ,Prüfungsordnung: ,,Lernziele & zu erwerbende Kompetenzen: ,"• Evolutionary multi-objective algorithms (NSGA-II, EMO ",- Regelmäßige Teilnahme und Mitarbeit in Vorlesung und Übung ,,     
1662,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Computerspiele ,,    • 2 SWS Übung  , ,,"Entwicklung der Fähigkeit, die Vorgänge im Computer und der ",scalarization methods such as MOEA/D) ,- Erwerb der Zulassungsvoraussetzungen zur Klausur ,, 
1663,,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,Selbstständiges Arbeit = 124 h  ,5 ,,zugehörigen Peripherie auf Signalebene zu verstehen ,• Large-scale EMO: large scale decision space and many ,"- Bestehen der schriftlichen Prüfung, 120 Min. ",,Samet: Foundations of Multidimensional and Metric Data 
1664,,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Computer Games ,,    • Bearbeitung von Übungs- und Programmieraufgaben & , ,,"Entwicklung der Fähigkeit, Computer durch entsprechende ",objective ,Die  Zulassungsvoraussetzungen können aus verschiedenen ,,"Structures.Zachmann, Langetepe: Geometric Data Structures for "
1665,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Prüfungsvorbereitungen ,Voraussetzungen nach ,,Interfaces zu komplettieren bzw. einen embedded- Einsatz ,optimization (such as NSGA-III) ,"Elementen bestehen,  bspw. dem Lösen und Präsentieren von ",,Computer Graphics. 
1666,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,, ,Prüfungsordnung: ,,vorzubereiten ,"• Constraint handling in SO and MO, robust optimization in ",Übungsaufgaben oder dem Bestehen  einer Zwischenklausur im ,,"Mehta, Sahmi: Handbook of Data Structures and Applica-tions "
1667,,,,,,,,,,,, ,, , ,,"Entwicklung der Fähigkeit, die Funktionen von Interfaces zur ","EMO, ",Semester. ,,Morin: Open Data Structures: An Introduction 
1668,,,,,,,,,,,, ,,Präsenzzeiten: ,6 ,,Bildein- und -ausgabe zu vers5tehen ,surrogate methods for expensive function evaluations ,Die genauen  Zulassungsvoraussetzungen werden zum Anfang ,, 
1669,,,,,,,,,,,,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - ,,28 h Vorlesung , ,, ,• Dynamic EMO ,"der Vorlesung, spätestens  bis zum Ende der dritten ",, 
1670,,,,,,,,,,,,Elektrotechnik ,,16 h Übung ,Voraussetzungen nach ,,Lernziele & zu erwerbende  Kompetenzen: · Stanford Biodesign ,"• Evaluation mechanisms (Design of experiments, test problems, ","Vorlesungswoche, auf der Webseite des  Lehrstuhls bekannt ",, 
1671,,,,,,,,,,,, ,,Selbständiges Arbeiten ,Prüfungsordnung: ,,Prinzip - Identify / Invent /  Implement von sogenannten Unmet ,"metrics, visualization) ",gegeben. ,, 
1672,,,,,,,,,,,, ,,56 h Nachbereitung der Vorlesung , ,,Clinical Need · Vermittlung von  Innovationsmethoden zur , , ,, 
1673,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering ,,48 h Vor- und Nachbereitung der Übung ,3 CP ,,"Definition und zur Validierung (Blue Ocean  Design, Innovation ",Anhand aktueller Forschungsprojekte am Leibniz-Institut , ,, 
1674,,,,,,,,,,,, ,,32 h eigenständiges Arbeiten innerhalb des Praktikums , ,,"Segments, Value Proposition Canvas, Business Model  Canvas, ",werden methodische Ansätze in der neurobiologischen ,Mündliche Prüfung/Klausur zu Vorlesung und Übung ,,Seite 285   Inhaltsverzeichnis 
1675,,,,,,,,,,,, ,,6 x 30 h (44 h Präsenzzeit + 136 h selbständige Arbeit) ,Voraussetzungen nach ,,u.v.m.) · Insight: Wie funktioniert das Gesundheitswesen und  ,"Lernforschung mittels fMRI, MEG, EEG und Elektrophysiologie ", ,,     
1676,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Biologie ,, ,Prüfungsordnung: ,,welche Innovationsbedarfe gibt es? Wie erkenne ich die? · ,"vermittelt. Es werden Untersuchungsparadigmen erarbeitet, in ", ,, 
1677,,,,,,,,,,,, ,,Presence: ,keine ,,Insight: Wie  wird die Zukunft im Bereich Gesundheit ausse-hen? ,Pilotexperimenten erprobt und Einblicke in die Datenanalyse ,Mündliche Prüfung ,, 
1678,,,,,,,,,,,, ,,Weekly lecture 1 SWS , ,,· Interdisziplinarität  als Grundlage für Innovation im Gesund-,und –interpretation vermittelt. , ,,"K. C. Laudon, C. G. Traver: E-Commerce 2013. Global Edition. "
1679,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Werkstoffwissenschaft ,,Weekly exercises 2 SWS (with computer hands-on) ,3 ,,heitswesen · Internationale  Unterschiede im Innovationsbedarf , , ,,Pearson Education (2013). 
1680,,,,,,,,,,,, ,,Autonomous work: , ,,· Entwicklung eines „minimal viable  Prototyp“ ... auch unter ,"Grundbegriffe, Ziele, Grenzen, GrundstrukturenReferenzprozess ",Prüfungsvoraussetzung: Teilnahme an Vorlesungen und ,,"K.C. Laudon, J.P. Laudon, D. Schoder. Wirtschaftsinformatik – "
1681,,,,,,,,,,,, ,,Complementary readingfinal project work ,Voraussetzungen nach ,, ,zum Engineering von Fabrikautomationssystemen ,Übungen (mind. 75%).  ,,"Eine Einführung. Pearson Studium (2006), Kpt. 10. "
1682,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Werkstoffwissenschaft ,,90h (42 h presence + 48 h autonomous work) ,Prüfungsordnung: ,, ,Klassifikation und Identifikation technischer Prozesse , ,, 
1683,,,,,,,,,,,, ,, , ,,Seite 322   Inhaltsverzeichnis ,Aufgaben der Automatisierung , ,, 
1684,,,,,,,,,,,, ,, ,6 ,,     ,Modellierung technischer Systeme auf der Basis kontinuierlicher ,Seite 647   Inhaltsverzeichnis ,, 
1685,,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Präsenzzeiten: , ,, ,und ,     ,, 
1686,,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,28h Vorlesung14 h Übung ,Voraussetzungen nach ,,Zuhilfenahme der HealthTEC INNOLAB Labore und  ,ereignisdiskreter Modellformen , ,, 
1687,,,,,,,,,,,,FIN: B.Sc. INF - WPF Technische Informatik ,,Selbstständiges Arbeiten: ,Prüfungsordnung: ,,nachfolgende Validierung mit den Akteuren ,Regelungs-und Steuerungsstrukturen ,Prüfung: Wissenschaftliches Projekt (Projektausarbeitung und ,, 
1688,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,42h Vor- und Nachbereitung Vorlesung , ,, ,Struktur/Verhalten speicherprogrammierbarer Steuerungen ,Präsentation) ,,Seite 287   Inhaltsverzeichnis 
1689,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Technische Informatik ,,36h Entwicklung von Modellen für die Übung ,6 ,,Lernziele und erworbene Kompetenzen: ,Grafische und textuelle Programmierung , ,,     
1690,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,120h: , ,,Nach dem erfolgreichen Abschluss des Moduls können die ,speicherprogrammierbarer Steuerungen ,Prüfungsform: Referat (Präsentation und Abschlussbericht) ,, 
1691,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,Vorlesung 2 SWS = 28h Präsenzzeit + 42h selbstständige Arbeit ,Voraussetzungen nach ,,Studie-renden die Rechenprinzipien unterschiedlicher , , ,, 
1692,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,Übung 1 SWS = 14h Präsenzzeit + 36h selbstständige Arbeit ,Prüfungsordnung: ,,Hardware¬plattformen diskutieren und ein geeignetes , , ,,"D. Kirk, W. Hwu, Programming Massively Parallel Processors, "
1693,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,"Präsenzzeiten: wöchentliche Vorlesungen 2 SWS, ", ,,Rechenprinzip für eine gegebene Anwendung auswählen. Sie , ,Seite 649   Inhaltsverzeichnis ,,Morgan Kaufmann 
1694,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,zweiwöchentliche Übungen 1 SWS ,6 ,,"können Anwendungen erstellen, welche auf unterschiedlichen ",Seite 251   Inhaltsverzeichnis ,     ,,"M. D. McCool, J. Reinders, and A. Robison, Structured parallel "
1695,,,,,,,,,,,,FIN: M.Sc. VC - Computer Science ,,"Selbständiges Arbeiten: Nacharbeiten der Vorlesung, Lösung ", ,,Hardwareplattformen realisiert werden können und deren ,     , ,,programming: patterns for efficient computation. 
1696,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,"von Übungsaufgaben, Prüfungsvorbereitung ",Voraussetzungen nach ,,Hardwareeigenschaften optimal ausnutzen. Die Studierenden , , ,,"Elsevier/Morgan Kaufmann, 2012 "
1697,,,,,,,,,,,, ,,3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) ,Prüfungsordnung: ,,können die Auswirkungen unterschiedlicher Beschreibungsstile ,Grundbegriffe zur Planung und Gestaltung industrieller , ,, 
1698,,,,,,,,,,,, ,, , ,,bei der High-Level-Synthese abschätzen und vorgegebenen Code ,ProzesseAuswahlverfahren grundlegender Technologien der , ,, 
1699,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Präsenzzeit = 56 h ,5 CP ,,"so umstrukturieren, dass eine effiziente Realisierung auf ",verarbeitenden Industrie und deren Einsatzgebiete ,Leistungen: Bearbeitung der Übungs- und ,, 
1700,,,,,,,,,,,, ,,2 SWS Vorlesung , ,,unterschiedlichen Hardwareplattformen erfolgen kann. Ferner , ,Programmieraufgaben ,, 
1701,,,,,,,,,,,, ,,2 SWS Übung ,Voraussetzungen nach ,,"können sie selbstständig bestimmen, wie eine Anwendung bei ", ,Prüfung: Klausur 120 Min. ,, 
1702,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Bachelor: ,Prüfungsordnung: ,,hybriden Systemarchitekturen auf die unterschiedlichen ,Seite 253   Inhaltsverzeichnis , ,, 
1703,,,,,,,,,,,, ,,Selbstständige Arbeit = 94 h , ,,Verarbeitungseinheiten aufgeteilt werden kann. Durch ,     , ,,Seite 289   Inhaltsverzeichnis 
1704,,,,,,,,,,,, ,,Bearbeitung von Übungs- und Programmieraufgaben & ,5 ,,"praktische Übungen sind die Studierenden in der Lage, ", , ,,     
1705,,,,,,,,,,,,FIN: B.Sc. CV - Pflichtfächer ,,Prüfungsvorbereitungen , ,, ,Analyse und Bewertung von Informationsprozessen in der ,Leistungen ,, 
1706,,,,,,,,,,,,FIN: B.Sc. INF - Pflichtfächer ,,Master: ,Voraussetzungen nach ,, ,industriellen Fertigung ,"Regelmäßige Teilnahme an Vorlesungen und Übungen, ",, 
1707,,,,,,,,,,,,FIN: B.Sc. INGINF - Pflichtfächer ,,Selbstständige Arbeit = 124 h ,Prüfungsordnung: ,,Seite 325   Inhaltsverzeichnis ,"Fabrikabläufe aus wirtschaftlicher Sicht, Kostenfunktionen als ",Bearbeitung der Übungs- und Programmieraufgaben ,, 
1708,,,,,,,,,,,,FIN: B.Sc. WIF - Gestalten ,,Bearbeitung von Übungs- und Programmieraufgaben in , ,,     ,Bewertungsinstrument ,Prüfung: Klausur 120 Min ,, 
1709,,,,,,,,,,,,WPF KWL ,,erweitertem Umfang & Prüfungsvorbereitungen ,5 ,, ,Aufbau und Ablauforganisation industrieller Fertigung , ,, 
1710,,,,,,,,,,,,"B, WI 1.2 ",, , ,,angeleitet ihr Wissen und Fähigkeiten forschungsorientiert zu ,Verfahren der strategischen Unternehmensplanung und de-ren , ,, 
1711,,,,,,,,,,,,WI 2.1 ,, ,Voraussetzungen nach ,,vertiefen und in komplexen Problemstellungen anzuwenden ,Auswirkung auf die Produktionsprogramme und ,  ,, 
1712,,,,,,,,,,,,WI 2.2 ,,Präsenzzeiten: ,Prüfungsordnung: ,,und zu beurteilen. ,Fabrikstrukturen , ,,Seite 291   Inhaltsverzeichnis 
1713,,,,,,,,,,,, ,,2 SWS Vorlesung , ,, , , ,,     
1714,,,,,,,,,,,, ,,Selbstständiges Arbeiten: ,5 ,, ,Grundstruktur und Grundfunktionen von Assistenzsystemen im , ,, 
1715,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Nacharbeiten der Vorlesung120 h (28h Präsenzzeit + 92h , ,,Vermittlung von Kenntnissen über Hochtechnologien der ,FahrzeugAufbau und Funktion typischer Assistenzsysteme und ,Regelmäßige Teilnahme an den Vorlesungen und Übungen; ,,siehe http://wwwisg.cs.uni-magdeburg.de/bv/gbv/bv.html 
1716,,,,,,,,,,,, ,,selbstständige Arbeit) ,Voraussetzungen nach ,,Fertigungstechnik ,ihre Einbindung in darunter liegende Fahrzeugfunktionen und ,Lösen der Übungs- und Belegaufgaben ,, 
1717,,,,,,,,,,,, ,, ,Prüfungsordnung: ,,Produktivitätssteigerung im Produktionsprozess ,darüber liegende Fahrerinformationssysteme - Vom Tempomat ,Klausur 90 min ,, 
1718,,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Präsenzzeiten: , ,,"Studenten kennen modernste fertigungstechnische Verfahren, ",über ESP zur Fahrdynamikregelung - vom ABS zum , ,, 
1719,,,,,,,,,,,,FIN: B.Sc. INF - WPF Technische Informatik ,,2 SWS Vorlesung ,5 ,,können diese beschreiben und ihren wirtschaftlichen Einsatz ,Bremsassistent - von der Servolenkung zum Lenkassistent - , ,, 
1720,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Technische Informatik ,,Selbstständiges Arbeiten: , ,,erklären ,Navigation und Verkehrsleitsysteme ,Übungsschein; Klausur 120 min ,, 
1721,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,Nacharbeiten der Vorlesung ,Voraussetzungen nach ,, ,Der Weg zum autonomen Fahren - globale und lokale , ,, 
1722,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,90 h (28h Präsenzzeit + 62h selbstständige Arbeit) ,Prüfungsordnung: ,, ,Ortungssysteme - Fahrzeuginterne und –externe Infrastruktur - , ,,Seite 293   Inhaltsverzeichnis 
1723,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,Präsenzzeiten: , ,,Lernziele und zu erwerbende Kompetenzen: ,"Automatische Spurführung, Autonomes Fahren ",Klausur ,,     
1724,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,wöchentliche Vorlesung: 2 SWS ,5 ,,Kenntnisse der hörakustischen Grundgrößen , , ,, 
1725,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Models ,,wöchentliche Übung einschl. Referatsthema: 2 SWS , ,,Grundkenntnisse der Messverfahren zur Hörakustik , , ,,Wird in der Vorlesung bekannt gegeben 
1726,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Selbstständiges Arbeiten: ,Voraussetzungen nach ,,Grundkenntnisse für die perzeptive Charakterisierung von ,Im Lehrfach Fertigungslehre steht die Fertigungstechnik zur ,2 Übungsscheine; Klausur 180 min ,, 
1727,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Aufarbeitung der Vorlesung und Bearbeitung des Referates ,Prüfungsordnung: ,,Umweltgeräuschen ,Erzeugung industrieller Produkte im Mittelpunkt der , ,, 
